nombre_diagnostico|nombre_diagnostico_psiquiatrico
Síndrome de Klinefelter, no especificado|Otros tipos de esquizofrenia
Hipofunción testicular|Otros tipos de esquizofrenia
Hemangioma de otras localizaciones|Otros tipos de esquizofrenia
Historia familiar de neoplasia maligna de mama|Otros tipos de esquizofrenia
Traumatismo no especificado del cuello, contacto inicial|Trastornos delirantes
Trastorno obsesivo-compulsivo|Trastorno esquizoide de personalidad
Fobia social, no especificada|Trastorno esquizoide de personalidad
Dependencia de sedantes, hipnóticos o ansiolíticos, sin complicaciones|Trastorno esquizoide de personalidad
Hiperlipidemia mixta|Trastorno esquizoide de personalidad
Reacción aguda de estrés|Trastorno esquizoide de personalidad
Otro desplazamiento de disco cervical, región cervical no especificada|Trastorno esquizoide de personalidad
Otros desplazamientos de disco intervertebral, región lumbar|Trastorno esquizoide de personalidad
Resistencia a la proteína C activada|Trastornos delirantes
Dependencia de opiáceos, sin complicaciones|Trastorno psicótico breve
Hemiplejia no especificada que afecta a lado derecho no dominante|Trastorno psicótico breve
Secuelas de otras enfermedades infecciosas y parasitarias especificadas|Trastorno psicótico breve
Estado de alergia a sulfonamidas|Trastorno psicótico breve
Presencia de articulación de cadera artificial, no especificada|Trastorno psicótico breve
Otras conjuntivitis virales|Otros tipos de esquizofrenia
Adenovirus como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Barotrauma sinusal, contacto inicial|Otros tipos de esquizofrenia
Alteración transitoria de conciencia|Otros tipos de esquizofrenia
Fractura desplazada de extremo lateral de clavícula no especificada, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Gastroenteritis y colitis infecciosas, no especificadas|Otros tipos de esquizofrenia
Insuficiencia venosa (crónica) (periférica)|Otros tipos de esquizofrenia
Ausencia adquirida de otro (-s) dedo (-s) del pie, lado no especificado|Otros tipos de esquizofrenia
Úlcera crónica no debida a presión de otra parte de pie no especificado, de gravedad no especificada|Otros tipos de esquizofrenia
Procedimiento y tratamiento no realizados debido a decisión del paciente por otras razones|Otros tipos de esquizofrenia
Ausencia adquirida de pierna por encima de rodilla lado no especificado|Otros tipos de esquizofrenia
Neuropatía hereditaria e idiopática, no especificada|Otros tipos de esquizofrenia
Gastritis, no especificada, sin hemorragia|Otros tipos de esquizofrenia
Problema relacionado con el grupo de apoyo primario, no especificado|Otros tipos de esquizofrenia
Liquen simple crónico|Otros tipos de esquizofrenia
Persona lesionada al subir o bajar de vehículo de construcción especial|Otros tipos de esquizofrenia
Otros trastornos respiratorios especificados|Trastornos delirantes
Insuficiencia respiratoria aguda y crónica no especificada si con hipoxia o con hipercapnia|Trastornos delirantes
Cor pulmonale (crónico)|Trastornos delirantes
Otro tipo de afectación posherpética del sistema nervioso|Trastornos delirantes
Carencia de alfa-1-antitripsina|Trastornos delirantes
Otras arritmias cardiacas especificadas|Trastornos delirantes
Estado de extracción de catarata, ojo no especificado|Trastornos delirantes
Síndrome de Brown-Séquard|Trastornos delirantes
Trastorno obsesivo-compulsivo|Otros tipos de esquizofrenia
Problema relacionado con el grupo de apoyo primario, no especificado|Trastorno psicótico breve
Traumatismo no especificado de arteria tibial posterior de pierna no especificada, contacto inicial|Otros tipos de esquizofrenia
Traumatismo no especificado de otros vasos sanguíneos a nivel de pierna, pierna no especificada, contacto inicial|Otros tipos de esquizofrenia
Celulitis de parte no especificada de las extremidades|Trastornos delirantes
Estomatitis candidiásica|Trastornos delirantes
Presencia de articulación de cadera artificial, no especificada|Trastornos delirantes
Contusión de pared anterior no especificada del tórax, contacto inicial|Otros tipos de esquizofrenia
Neumotórax traumático, contacto inicial|Otros tipos de esquizofrenia
Fractura no especificada de esternón, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Isquemia e infarto del riñón|Otros tipos de esquizofrenia
Fracturas múltiples de costillas, lado no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Hemoneumotórax traumático, contacto inicial|Otros tipos de esquizofrenia
Fractura no especificada, desplazada de primera vértebra cervical, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Traumatismo no especificado de otros órganos intraabdominales, contacto inicial|Otros tipos de esquizofrenia
Enfisema subcutáneo traumático, contacto inicial|Otros tipos de esquizofrenia
Fractura transversal desplazada de rótula derecha, contacto inicial por fractura cerrada|Esquizofrenia
Insuficiencia suprarrenal primaria|Trastornos delirantes
Dependencia de alcohol, en remisión|Trastornos delirantes
Otras complicaciones y trastornos intraoperatorios y posprocedimiento del aparato musculoesquelético|Trastornos esquizoafectivos
Otras cifosis, región dorsolumbar|Trastornos esquizoafectivos
Fractura patológica, otra localización, contacto inicial por fractura|Trastornos esquizoafectivos
Estado de artrodesis|Trastornos esquizoafectivos
Discapacidad intelectual leve|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno del metabolismo de las lipoproteínas, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otra embolia pulmonar sin cor pulmonale agudo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Embolia y trombosis agudas de venas profundas no especificadas de extremidad inferior izquierda|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Infección de tracto urinario, localización no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Anemia, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fibrilación paroxística auricular|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estomatitis candidiásica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estado de alergia a penicilina|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otro tipo de movilidad reducida|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Deterioro cognitivo relacionado con la edad|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Uso prolongado (actual) de antitrombóticos / antiplaquetarios|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Sepsis por otros gram negativos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Sepsis por Escherichia coli [E. coli]|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Sepsis debida a Staphylococcus aureus resistente a meticilina|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras sepsis estreptocócicas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Úlcera crónica no debida a presión de talón y mediopie izquierdos, de gravedad no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otro tipo de osteomielitis aguda, fémur derecho|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Úlcera crónica no debida a presión de muslo derecho, de gravedad no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Infección por Staphylococcus aureus resistente a meticilina como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fractura patológica, pelvis, contacto inicial por fractura|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hiperplasia prostática benigna sin síntomas de tracto urinario inferior|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Malformaciones congénitas de la fijación del intestino|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Parkinsonismo inducido por neurolépticos|Trastorno esquizotípico
Efecto adverso de antipsicóticos y neurolépticos no especificados, contacto inicial|Trastorno esquizotípico
Trastorno de conducta, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Malnutrición calórico-proteica leve|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Íleo paralítico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Insuficiencia respiratoria aguda con hipoxia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Bacteriemia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Encefalopatía hipóxica isquémica [EHI] no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Mareo y desvanecimiento|Otros tipos de esquizofrenia
Seudoartrosis después de fusión o artrodesis|Otros tipos de esquizofrenia
Incontinencia urinaria no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad degenerativa del sistema nervioso, no especificada|Trastornos delirantes
Afasia|Trastornos delirantes
Catarata senil, no especificada|Trastornos delirantes
Úlcera duodenal, no especificada como aguda ni como crónica, sin hemorragia ni perforación|Otros tipos de esquizofrenia
Bronquiectasias con infección aguda de vías respiratorias bajas|Esquizofrenia
Hiperglucemia, no especificada|Esquizofrenia
Uso prolongado (actual) de esteroides sistémicos|Esquizofrenia
Otras distonías|Trastornos esquizoafectivos
Demencia vascular, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Esquizofrenia
Artrosis no especificada, localización no especificada|Esquizofrenia
Historia personal de neoplasia maligna de próstata|Esquizofrenia
Historia personal de infecciones del tracto urinario|Esquizofrenia
Fractura no especificada de diáfisis de tibia no especificada, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Historia personal de tromboflebitis|Otros tipos de esquizofrenia
Discapacidad intelectual leve|Trastornos esquizoafectivos
Parálisis cerebral, no especificada|Trastornos esquizoafectivos
Parálisis cerebral, no especificada|Otros tipos de esquizofrenia
Helicobacter pylori [H. pylori] como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Historia personal de neoplasia maligna de mama|Trastornos esquizoafectivos
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas|Esquizofrenia
Neoplasia maligna secundaria de retroperitoneo y peritoneo|Esquizofrenia
Neoplasia maligna secundaria de pulmón no especificado|Esquizofrenia
Broncoespasmo agudo|Esquizofrenia
Derrame pleural, no clasificable bajo otro concepto|Esquizofrenia
Otros tipos de ascitis|Esquizofrenia
Infarto cerebral debido a embolia de arteria cerebral no especificada|Otros tipos de esquizofrenia
Hemofilia adquirida|Otros tipos de esquizofrenia
Anestesia cutánea|Otros tipos de esquizofrenia
Angina inestable|Otros tipos de esquizofrenia
Melanoma maligno de extremidad superior no especificada, incluyendo hombro|Otros tipos de esquizofrenia
Efecto adverso de inhibidores de la anhidrasa carbónica, benzotiadiacidas y otros diuréticos, contacto inicial|Esquizofrenia
Efecto adverso de otros fármacos antihipertensivos, contacto inicial|Esquizofrenia
Efecto adverso de antifúngicos, antiinfecciosos y antiinflamatorios locales, contacto inicial|Esquizofrenia
Otros tipos de hiperfunción de hipófisis|Trastorno psicótico breve
Espondilitis anquilosante de localizaciones no especificadas de la columna vertebral|Trastornos esquizoafectivos
Neoplasia maligna de glándula tiroides|Otros tipos de esquizofrenia
Síndrome metabólico|Esquizofrenia
Discapacidad intelectual leve|Trastornos delirantes
Pérdida auditiva neurosensorial no especificada|Trastornos delirantes
Cálculo de vesícula biliar con colecistitis aguda con obstrucción|Trastorno psicótico breve
Fallo renal agudo, no especificado|Trastorno psicótico breve
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada|Trastorno psicótico breve
Enfermedad renal crónica, no especificada|Trastorno psicótico breve
Fibrilación auricular no especificada|Trastorno psicótico breve
Uso prolongado (actual) de anticoagulantes|Trastorno psicótico breve
Uso prolongado (actual) de antitrombóticos / antiplaquetarios|Trastorno psicótico breve
Insuficiencia respiratoria no especificada, con hipercapnia|Trastornos delirantes
Obesidad mórbida (severa) con hipoventilación alveolar|Trastornos delirantes
Diabetes mellitus tipo 2 con hiperglucemia|Trastornos delirantes
Hiperuricemia sin signos de artritis inflamatoria y enfermedad tofácea|Trastornos delirantes
Fractura de trocánter no especificado de fémur izquierdo, contacto inicial por fractura cerrada|Trastornos delirantes
Caída no especificada, contacto inicial|Trastornos delirantes
Demencia no especificada, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Trastornos delirantes
Presencia de otros implantes e injertos vasculares|Trastornos delirantes
Historia personal de melanoma maligno de piel|Trastornos delirantes
Consumo de cocaína no especificado sin complicaciones|Trastornos esquizoafectivos
Neoplasia maligna de endometrio|Trastorno psicótico breve
Leiomioma de útero, no especificado|Trastorno psicótico breve
Infarto de miocardio antiguo|Trastorno psicótico breve
Enfermedad isquémica crónica cardiaca, no especificada|Trastorno psicótico breve
Presencia de angioplastia, injertos y prótesis coronarios|Trastorno psicótico breve
Uso prolongado (actual) de aspirina|Trastorno psicótico breve
Enfermedad renal crónica, estadio 3 (moderada)|Esquizofrenia
Trastorno de conducta, no especificado|Esquizofrenia
Consumo de alcohol no especificado, con demencia persistente inducida por alcohol|Esquizofrenia
Neumoconiosis debida a otro tipo de polvo que contiene sílice|Esquizofrenia
Neumoconiosis no especificada|Esquizofrenia
Otros tipos de encefalopatía|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Infección aguda del tracto respiratorio inferior, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Acidosis|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Insuficiencia respiratoria aguda con hipercapnia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Cor pulmonale (crónico)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de oxígeno suplementario|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras formas de escoliosis, región cervical|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Vértebra colapsada, no clasificada bajo otro concepto, región lumbar, contacto inicial por fractura|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Presencia de articulación de cadera derecha artificial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fractura no especificada de diáfisis de tibia derecha, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fractura no especificada de diáfisis de peroné derecho, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Encefalopatía metabólica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Miocardiopatía hipertrófica obstructiva|Trastorno psicótico breve
Hipercolesterolemia pura|Trastorno psicótico breve
Historia personal de neoplasia benigna de cerebro|Trastorno psicótico breve
Aterosclerosis cerebral|Trastorno psicótico breve
Historia personal de embolia pulmonar|Trastorno psicótico breve
Bulimia nerviosa|Otros tipos de esquizofrenia
Fractura no especificada desplazada del cuello quirúrgico de húmero derecho, contacto inicial por fractura cerrada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Esclerosis múltiple|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de otro tipo de neoplasia benigna|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Presencia de lente intraocular|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Presencia de articulación de cadera artificial, no especificada|Otros tipos de esquizofrenia
Diverticulosis de colon sin perforación ni absceso, sin hemorragia|Trastornos esquizoafectivos
Diverticulitis de intestino, parte no especificada, con perforación y absceso, sin hemorragia|Trastornos esquizoafectivos
Apendicitis aguda no especificada|Trastornos esquizoafectivos
Contacto para cuidados de colostomía|Trastornos esquizoafectivos
Hernia incisional sin obstrucción ni gangrena|Trastornos esquizoafectivos
Pérdida de audición no especificada, bilateral|Trastornos delirantes
Trastorno bipolar, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Abuso de otra sustancia psicoactiva, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia benigna de ovario derecho|Esquizofrenia
Trastorno depresivo mayor, recurrente, no especificado|Trastorno esquizoide de personalidad
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Trastorno esquizoide de personalidad
Hipercolesterolemia pura|Trastorno esquizoide de personalidad
Ideaciones suicidas|Trastorno esquizoide de personalidad
Estado de alergia a otros fármacos, medicamentos y sustancias biológicas|Trastorno esquizoide de personalidad
Iridociclitis no especificada|Trastorno esquizoide de personalidad
Hematuria, no especificada|Esquizofrenia
Epilepsia y otros síndromes epilépticos generalizados, no intratables, sin estado de mal epiléptico|Esquizofrenia
Otro tipo de movilidad reducida|Esquizofrenia
Coma hipoglucémico no diabético|Otros tipos de esquizofrenia
Diabetes mellitus tipo 1 sin complicaciones|Otros tipos de esquizofrenia
Envenenamiento por insulina y fármacos hipoglucemiantes [antidiabéticos] orales, accidental (no intencionado), contacto inicial|Otros tipos de esquizofrenia
Diabetes mellitus tipo 1 con complicaciones no especificadas|Otros tipos de esquizofrenia
Contacto para inspección y examen del generador de pulso de marcapasos cardiaco [batería]|Otros tipos de esquizofrenia
Cefalea|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otra reacción a punción espinal y lumbar|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros procedimientos médicos como causa de reacción anormal del paciente o de complicación posterior, sin mención de evento adverso en el momento del procedimiento|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de cannabis, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de alcohol, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de otra neoplasia maligna de intestino grueso|Trastornos delirantes
Historia personal de quimioterapia antineoplásica|Trastornos delirantes
Leucemia mieloblástica aguda, sin haber alcanzado remisión|Esquizofrenia
Bacteriemia|Esquizofrenia
Pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Linfangitis aguda de axila derecha|Esquizofrenia
Complicación no especificada de trasplante de hígado|Otros tipos de esquizofrenia
Historia personal de neoplasia maligna de hígado|Otros tipos de esquizofrenia
Herida abierta no especificada de muñeca no especificada, contacto inicial|Otros tipos de esquizofrenia
Otras lesiones del nervio mediano, extremidad superior no especificada|Otros tipos de esquizofrenia
Pericarditis aguda, no especificada|Otros tipos de esquizofrenia
Aneurisma cerebral, no roto|Trastorno psicótico breve
Historia personal de otra neoplasia maligna de intestino grueso|Trastorno psicótico breve
Ausencia adquirida de otras partes especificadas del tracto digestivo|Trastorno psicótico breve
Tetraplejia, no especificada|Otros tipos de esquizofrenia
Trastorno bipolar, no especificado|Otros tipos de esquizofrenia
Taponamiento cardiaco|Otros tipos de esquizofrenia
Problema relacionado con la vivienda y circunstancias económicas, no especificadas|Otros tipos de esquizofrenia
Otros problemas especificados relacionados con el grupo de apoyo primario|Otros tipos de esquizofrenia
Dificultades por aculturación|Otros tipos de esquizofrenia
Otros problemas relacionados con la vivienda y circunstancias económicas|Otros tipos de esquizofrenia
Abuso de sedantes, hipnóticos o ansiolíticos, sin complicaciones|Trastornos esquizoafectivos
Hepatitis vírica crónica tipo C|Trastornos esquizoafectivos
Trastorno de personalidad, no especificado|Trastornos esquizoafectivos
Diabetes mellitus tipo 2 con retinopatía diabética no especificada sin edema macular|Esquizofrenia
Fibrosis pulmonar idiopática|Otros tipos de esquizofrenia
Conmoción, con pérdida de conciencia de duración no especificada, contacto inicial|Esquizofrenia
Historia personal de embolia pulmonar|Esquizofrenia
Hemangioma de estructuras intracraneales|Otros tipos de esquizofrenia
Otros problemas especificados relacionados con el grupo de apoyo primario|Esquizofrenia
Neoplasia maligna de cuadrante inferior externo de mama femenina derecha|Trastornos delirantes
Estado de receptor de estrógeno positivo [RE+]|Trastornos delirantes
Demencia no especificada, gravedad no especificada, con alteración del comportamiento|Trastornos delirantes
Erupción cutánea generalizada debida a drogas y medicamentos ingeridos|Trastornos delirantes
Efecto adverso de otros antibióticos sistémicos, contacto inicial|Trastornos delirantes
Afección nosocomial|Trastornos delirantes
Insuficiencia aórtica reumática|Trastornos delirantes
Sepsis, microorganismo no especificado|Trastornos delirantes
Sepsis grave con shock séptico|Trastornos delirantes
Otras enfermedades infecciosas|Trastornos delirantes
Neoplasia maligna de localización no especificada de mama femenina derecha|Trastornos delirantes
Ausencia adquirida de mama y pezón derechos|Trastornos delirantes
Derrame pleural maligno|Otros tipos de esquizofrenia
Demencia vascular, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Trastornos delirantes
Pérdida de visión sin calificar, un ojo, no especificado|Trastornos delirantes
Traumatismo no especificado de músculo, fascia y tendón a nivel del cuello, secuela|Trastornos delirantes
Herida abierta no especificada de parte no especificada del cuello, contacto inicial|Esquizofrenia
Pólipos de las cuerdas vocales y de la laringe|Otros tipos de esquizofrenia
Historia familiar de discapacidad intelectual|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Síndrome de Down, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Aneurisma de arteria de extremidad inferior|Esquizofrenia
Aneurisma aórtico abdominal, sin rotura|Esquizofrenia
Fractura intracapsular no especificada de fémur derecho, contacto inicial por fractura cerrada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estado de alergia a analgésico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros trastornos especificados de riñón y uréter|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Efecto adverso no especificado de fármaco o medicamento, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Efecto adverso de anticoagulantes, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad isquémica crónica cardiaca, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros trastornos de ansiedad especificados|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Uso prolongado (actual) de antiinflamatorios no esteroideos (AINES)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Bocio no tóxico, no especificado|Esquizofrenia
Tirotoxicosis con bocio difuso sin crisis tirotóxica ni tormenta tiroidea|Esquizofrenia
Gota, no especificada|Esquizofrenia
Fractura intracapsular no especificada de fémur derecho, contacto inicial por fractura cerrada|Esquizofrenia
Pólipo nasal, no especificado|Otros tipos de esquizofrenia
Efecto adverso de fármaco psicótropo no especificado, contacto inicial|Trastornos delirantes
Desorientación, no especificada|Trastornos delirantes
Fibrilación auricular crónica|Trastornos delirantes
Otros trastornos de ansiedad especificados|Trastornos delirantes
Úlcera por presión en talón no especificado, no estadiable|Trastornos delirantes
Deshidratación|Trastornos delirantes
Enfermedad cardiaca y renal crónica hipertensiva con insuficiencia cardiaca y enfermedad renal crónica estadios 1 a 4 o enfermedad renal crónica no especificada|Trastornos delirantes
Anemia en enfermedad renal crónica|Trastornos delirantes
Enfermedad pulmonar obstructiva crónica con infección (aguda) de las vías respiratorias inferiores|Trastornos delirantes
Neumonitis debida a inhalación de alimentos y vómito|Trastornos delirantes
Historia personal de infecciones del tracto urinario|Trastornos delirantes
Otros trastornos especificados de la conducta alimentaria|Trastornos delirantes
Demencia vascular, gravedad no especificada, con alteración del comportamiento|Trastornos delirantes
Otra candidiasis urogenital|Trastornos delirantes
Broncoespasmo agudo|Trastornos delirantes
Dificultades para la alimentación|Trastornos delirantes
Otro tipo de movilidad reducida|Trastornos delirantes
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Hiperosmolaridad e hipernatremia|Esquizofrenia
Síndrome neuroléptico maligno|Esquizofrenia
Escoliosis no especificada|Esquizofrenia
Fractura de bóveda de cráneo, secuela|Otros tipos de esquizofrenia
Rabdomiolisis|Esquizofrenia
Hemorroides no especificadas|Esquizofrenia
Úlcera crónica no debida a presión en la piel de otros sitios, de gravedad no especificada|Esquizofrenia
Otras hemorroides|Otros tipos de esquizofrenia
Siringomielia y siringobulbia|Trastorno esquizoide de personalidad
Liquen simple crónico|Trastorno esquizoide de personalidad
Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto|Trastorno esquizoide de personalidad
Otra escoliosis idiopática, localización no especificada|Trastorno esquizoide de personalidad
Otras deformidades adquiridas especificadas, pierna, lado no especificado|Trastorno esquizoide de personalidad
Bronquiectasias, sin complicaciones|Trastorno esquizoide de personalidad
Cuerpo extraño en estómago, contacto inicial|Otros tipos de esquizofrenia
Fractura de trocánter no especificado de fémur no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Talasemia, no especificada|Otros tipos de esquizofrenia
Neoplasia maligna de lóbulo inferior, bronquio o pulmón derecho|Esquizofrenia
Neoplasia maligna de bronquio principal derecho|Esquizofrenia
Estado de alergia a las abejas|Esquizofrenia
Otros tipos de psoriasis|Esquizofrenia
Síndrome de intestino irritable sin diarrea|Esquizofrenia
Historia familiar de neoplasia maligna, no especificada|Otros tipos de esquizofrenia
Capacidad intelectual límite|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fracturas múltiples de costillas, bilateral, contacto inicial por fractura cerrada|Esquizofrenia
Anemia nutricional, no especificada|Esquizofrenia
Cirrosis alcohólica de hígado sin ascitis|Otros tipos de esquizofrenia
Varices esofágicas secundarias con hemorragia|Otros tipos de esquizofrenia
Otras enfermedades de estómago y duodeno|Otros tipos de esquizofrenia
Insuficiencia respiratoria crónica con hipercapnia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Demencia en otras enfermedades clasificadas bajo otro concepto, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Desorientación, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Inquietud y agitación|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Asma no especificada, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estenosis con insuficiencia (de la válvula) aórtica no reumática|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Prolapso uterovaginal incompleto|Esquizofrenia
Fracturas múltiples de costillas de lado derecho, contacto inicial por fractura cerrada|Trastornos delirantes
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Temblor esencial|Otros tipos de esquizofrenia
Problema relacionado con el grupo de apoyo primario, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Problema relacionado con circunstancias psicosociales no especificadas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Glaucoma no especificado|Esquizofrenia
Otras enfermedades mal definidas cardiacas|Trastornos delirantes
Derrame pericárdico (no inflamatorio)|Trastornos delirantes
Estenosis vertebral, región lumbar|Trastornos delirantes
Presencia de articulación de rodilla artificial, bilateral|Trastornos delirantes
Dependencia de cannabis, con otro trastorno inducido por cannabis|Esquizofrenia
Infradosificación de fármacos, medicamentos y sustancias biológicas no especificados, contacto inicial|Esquizofrenia
Otro incumplimiento del paciente de la prescripción médica|Esquizofrenia
Abuso de cannabis, con trastorno psicótico no especificado|Esquizofrenia
Vólvulo|Otros tipos de esquizofrenia
Megacolon, no clasificado bajo otro concepto|Otros tipos de esquizofrenia
Mastopatía quística difusa de mama no especificada|Trastorno psicótico breve
Alcoholismo y drogadicción en la familia|Trastorno psicótico breve
Venas varicosas de extremidad inferior no especificada con úlcera de localización no especificada|Otros tipos de esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda con obstrucción|Esquizofrenia
Desorientación, no especificada|Esquizofrenia
Distrofia retiniana pigmentaria|Esquizofrenia
Ceguera, ambos ojos|Esquizofrenia
Herida abierta no especificada de mano izquierda, contacto inicial|Esquizofrenia
Lesiones autoinfligidas intencionadamente por objeto cortante no especificado, contacto inicial|Esquizofrenia
Distrofia retiniana hereditaria no especificada|Esquizofrenia
