source|target
Caries de raíz dental|Esquizofrenia
Caries dental, no especificada|Esquizofrenia
Caries dental, no especificada|Otros tipos de esquizofrenia
Absceso periapical absceso con sinus|Otros tipos de esquizofrenia
Absceso periapical sin sinus|Esquizofrenia
Absceso periapical sin sinus|Otros tipos de esquizofrenia
Otros trastornos especificados de dientes y estructuras de soporte|Trastornos delirantes
Sialoadenitis, no especificada|Otros tipos de esquizofrenia
Sialolitiasis|Otros tipos de esquizofrenia
Celulitis y absceso de boca|Otros tipos de esquizofrenia
Esofagitis, no especificada|Esquizofrenia
Esofagitis, no especificada|Otros tipos de esquizofrenia
Enfermedad por reflujo gastroesofágico con esofagitis|Otros tipos de esquizofrenia
Enfermedad por reflujo gastroesofágico sin esofagitis|Esquizofrenia
Enfermedad por reflujo gastroesofágico sin esofagitis|Otros tipos de esquizofrenia
Enfermedad por reflujo gastroesofágico sin esofagitis|Trastornos delirantes
Acalasia de cardias|Trastornos delirantes
Obstrucción de esófago|Otros tipos de esquizofrenia
Síndrome de desgarro-hemorragia gastroesofágico|Esquizofrenia
Síndrome de desgarro-hemorragia gastroesofágico|Otros tipos de esquizofrenia
Esófago de Barrett sin displasia|Otros tipos de esquizofrenia
Úlcera gástrica aguda con hemorragia|Otros tipos de esquizofrenia
Úlcera gástrica crónica sin hemorragia ni perforación|Otros tipos de esquizofrenia
Úlcera gástrica, no especificada como aguda ni crónica, sin hemorragia ni perforación|Trastornos delirantes
Úlcera duodenal crónica o no especificada con hemorragia|Esquizofrenia
Úlcera duodenal crónica o no especificada con perforación|Esquizofrenia
Úlcera duodenal, no especificada como aguda ni como crónica, sin hemorragia ni perforación|Esquizofrenia
Úlcera duodenal, no especificada como aguda ni como crónica, sin hemorragia ni perforación|Otros tipos de esquizofrenia
Úlcera duodenal, no especificada como aguda ni como crónica, sin hemorragia ni perforación|Trastornos delirantes
Gastritis crónica atrófica sin hemorragia|Otros tipos de esquizofrenia
Gastritis crónica atrófica sin hemorragia|Trastornos delirantes
Gastritis crónica no especificada sin hemorragia|Esquizofrenia
Otros tipos de gastritis sin hemorragia|Esquizofrenia
Gastritis, no especificada, sin hemorragia|Otros tipos de esquizofrenia
Obstrucción de duodeno|Otros tipos de esquizofrenia
Angiodisplasia de estómago y duodeno sin hemorragia|Esquizofrenia
Otras enfermedades de estómago y duodeno|Otros tipos de esquizofrenia
Apendicitis aguda con peritonitis generalizada|Otros tipos de esquizofrenia
Apendicitis aguda con peritonitis localizada|Esquizofrenia
Apendicitis aguda con peritonitis localizada|Otros tipos de esquizofrenia
Apendicitis aguda no especificada|Esquizofrenia
Apendicitis aguda no especificada|Trastornos esquizoafectivos
Hernia inguinal bilateral, sin obstrucción ni gangrena, no especificada como recidivada|Otros tipos de esquizofrenia
Hernia inguinal unilateral, sin obstrucción ni gangrena, no especificada como recidivada|Esquizofrenia
Hernia inguinal unilateral, sin obstrucción ni gangrena, no especificada como recidivada|Otros tipos de esquizofrenia
Hernia inguinal unilateral, sin obstrucción ni gangrena, no especificada como recidivada|Trastornos delirantes
Hernia inguinal unilateral, sin obstrucción ni gangrena, no especificada como recidivada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hernia umbilical sin obstrucción ni gangrena|Otros tipos de esquizofrenia
Hernia incisional con obstrucción, sin gangrena|Esquizofrenia
Hernia incisional con obstrucción, sin gangrena|Otros tipos de esquizofrenia
Hernia incisional sin obstrucción ni gangrena|Esquizofrenia
Hernia incisional sin obstrucción ni gangrena|Otros tipos de esquizofrenia
Hernia incisional sin obstrucción ni gangrena|Trastornos esquizoafectivos
Hernia ventral sin obstrucción ni gangrena|Esquizofrenia
Hernia ventral sin obstrucción ni gangrena|Otros tipos de esquizofrenia
Hernia diafragmática sin obstrucción ni gangrena|Esquizofrenia
Hernia diafragmática sin obstrucción ni gangrena|Otros tipos de esquizofrenia
Hernia diafragmática sin obstrucción ni gangrena|Trastornos delirantes
Hernia diafragmática sin obstrucción ni gangrena|Trastornos esquizoafectivos
Hernia diafragmática sin obstrucción ni gangrena|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad de Crohn de intestino grueso sin complicaciones|Otros tipos de esquizofrenia
Enfermedad de Crohn, no especificada, sin complicaciones|Trastornos esquizoafectivos
Pancolitis ulcerosa (crónica) sin complicaciones|Trastornos delirantes
Colitis ulcerosa, no especificada, sin complicaciones|Otros tipos de esquizofrenia
Colitis ulcerosa, no especificada, sin complicaciones|Trastornos delirantes
Gastroenteritis y colitis tóxica|Esquizofrenia
Gastroenteritis y colitis tóxica|Otros tipos de esquizofrenia
Gastroenteritis y colitis alérgicas y dietéticas|Otros tipos de esquizofrenia
Gastroenteritis y colitis alérgicas y dietéticas|Trastornos delirantes
Gastroenteritis y colitis alérgicas y dietéticas|Trastorno esquizoide de personalidad
Otras gastroenteritis y colitis no infecciosas especificadas|Otros tipos de esquizofrenia
Gastroenteritis y colitis no infecciosas, no especificadas|Esquizofrenia
Gastroenteritis y colitis no infecciosas, no especificadas|Trastornos delirantes
Gastroenteritis y colitis no infecciosas, no especificadas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastornos vasculares agudos de intestino|Esquizofrenia
Trastornos vasculares agudos de intestino|Trastornos delirantes
Angiodisplasia de colon sin hemorragia|Otros tipos de esquizofrenia
Angiodisplasia de colon sin hemorragia|Trastornos delirantes
Trastorno vascular de intestino, no especificado|Esquizofrenia
Trastorno vascular de intestino, no especificado|Otros tipos de esquizofrenia
Íleo paralítico|Esquizofrenia
Íleo paralítico|Otros tipos de esquizofrenia
Íleo paralítico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Vólvulo|Esquizofrenia
Vólvulo|Otros tipos de esquizofrenia
Vólvulo|Trastornos delirantes
Vólvulo|Trastornos esquizoafectivos
Íleo por cálculo biliar|Otros tipos de esquizofrenia
Impactación fecal|Otros tipos de esquizofrenia
Otros tipos de impactación de intestino|Otros tipos de esquizofrenia
Adherencias [bridas] intestinales con obstrucción (posinfección)|Esquizofrenia
Adherencias [bridas] intestinales con obstrucción (posinfección)|Otros tipos de esquizofrenia
Obstrucción intestinal no especificada|Otros tipos de esquizofrenia
Otros tipos de obstrucción intestinal|Otros tipos de esquizofrenia
Diverticulosis de colon sin perforación ni absceso, sin hemorragia|Esquizofrenia
Diverticulosis de colon sin perforación ni absceso, sin hemorragia|Otros tipos de esquizofrenia
Diverticulosis de colon sin perforación ni absceso, sin hemorragia|Trastornos delirantes
Diverticulosis de colon sin perforación ni absceso, sin hemorragia|Trastornos esquizoafectivos
Diverticulosis de colon sin perforación ni absceso, sin hemorragia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Diverticulosis de colon sin perforación ni absceso, con hemorragia|Trastornos delirantes
Diverticulitis de colon sin perforación ni absceso, sin hemorragia|Otros tipos de esquizofrenia
Diverticulitis de colon sin perforación ni absceso, con hemorragia|Trastornos delirantes
Diverticulitis de intestino, parte no especificada, con perforación y absceso, sin hemorragia|Trastornos esquizoafectivos
Diverticulosis de intestino, parte no especificada, sin perforación ni absceso, sin hemorragia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Síndrome de intestino irritable sin diarrea|Esquizofrenia
Síndrome de intestino irritable sin diarrea|Otros tipos de esquizofrenia
Síndrome de intestino irritable sin diarrea|Trastornos delirantes
Estreñimiento, no especificado|Esquizofrenia
Estreñimiento, no especificado|Otros tipos de esquizofrenia
Estreñimiento, no especificado|Trastornos delirantes
Estreñimiento, no especificado|Trastorno psicótico breve
Estreñimiento, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros tipos de estreñimiento|Esquizofrenia
Otros tipos de estreñimiento|Trastornos delirantes
Megacolon, no clasificado bajo otro concepto|Otros tipos de esquizofrenia
Otro tipo de megacolon|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fisura anal, no especificada|Otros tipos de esquizofrenia
Fisura anal, no especificada|Trastornos delirantes
Fístula anal|Esquizofrenia
Absceso anal|Esquizofrenia
Absceso anal|Otros tipos de esquizofrenia
Absceso anal|Trastornos delirantes
Pólipo anal|Esquizofrenia
Pólipo rectal|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Prolapso rectal|Esquizofrenia
Hemorragia de ano y recto|Esquizofrenia
Úlcera de ano y de recto|Esquizofrenia
Otras enfermedades especificadas de ano y recto|Otros tipos de esquizofrenia
Perforación de intestino (no traumática)|Otros tipos de esquizofrenia
Pólipo de colon|Esquizofrenia
Otras hemorroides|Otros tipos de esquizofrenia
Otras hemorroides|Trastornos delirantes
Hemorroides no especificadas|Esquizofrenia
Hemorroides no especificadas|Otros tipos de esquizofrenia
Hemorroides no especificadas|Trastornos delirantes
Hemorroides no especificadas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Peritonitis (aguda) generalizada|Esquizofrenia
Peritonitis (aguda) generalizada|Otros tipos de esquizofrenia
Absceso peritoneal|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Peritonitis bacteriana espontánea|Otros tipos de esquizofrenia
Peritonitis, no especificada|Esquizofrenia
Peritonitis, no especificada|Otros tipos de esquizofrenia
Adherencias peritoneales (posprocedimiento) (posinfección)|Otros tipos de esquizofrenia
Hemoperitoneo|Otros tipos de esquizofrenia
Absceso retroperitoneal posprocedimiento|Otros tipos de esquizofrenia
Absceso retroperitoneal posprocedimiento|Trastorno esquizoide de personalidad
Hígado graso alcohólico|Otros tipos de esquizofrenia
Cirrosis alcohólica de hígado sin ascitis|Esquizofrenia
Cirrosis alcohólica de hígado sin ascitis|Otros tipos de esquizofrenia
Enfermedad hepática alcohólica, no especificada|Otros tipos de esquizofrenia
Enfermedad hepática alcohólica, no especificada|Trastornos delirantes
Enfermedad hepática alcohólica, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hepatopatía tóxica con hepatitis, no clasificada bajo otro concepto|Otros tipos de esquizofrenia
Insuficiencia hepática aguda y subaguda sin coma|Esquizofrenia
Insuficiencia hepática aguda y subaguda sin coma|Otros tipos de esquizofrenia
Insuficiencia hepática, no especificada, sin coma|Otros tipos de esquizofrenia
Fibrosis hepática|Otros tipos de esquizofrenia
Cirrosis de hígado no especificada|Esquizofrenia
Otras cirrosis de hígado|Esquizofrenia
Absceso de hígado|Otros tipos de esquizofrenia
Enfermedad inflamatoria de hígado, no especificada|Esquizofrenia
Hígado graso (degeneración grasa) de hígado, no clasificado bajo otro concepto|Esquizofrenia
Hígado graso (degeneración grasa) de hígado, no clasificado bajo otro concepto|Otros tipos de esquizofrenia
Hígado graso (degeneración grasa) de hígado, no clasificado bajo otro concepto|Trastornos delirantes
Hígado graso (degeneración grasa) de hígado, no clasificado bajo otro concepto|Trastorno psicótico breve
Congestión pasiva crónica de hígado|Otros tipos de esquizofrenia
Congestión pasiva crónica de hígado|Trastornos delirantes
Hipertensión portal|Otros tipos de esquizofrenia
Síndrome hepatorrenal|Otros tipos de esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda sin obstrucción|Esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda sin obstrucción|Otros tipos de esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda sin obstrucción|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Cálculo de vesícula biliar con colecistitis aguda con obstrucción|Esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda con obstrucción|Otros tipos de esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda con obstrucción|Trastorno psicótico breve
Cálculo de vesícula biliar con colecistitis crónica sin obstrucción|Esquizofrenia
Cálculo de vesícula biliar con colecistitis crónica sin obstrucción|Trastornos esquizoafectivos
Cálculo de vesícula biliar con colecistitis aguda y crónica sin obstrucción|Trastornos delirantes
Cálculo de vesícula biliar con otro tipo de colecistitis sin obstrucción|Otros tipos de esquizofrenia
Cálculo de vesícula biliar sin colecistitis sin obstrucción|Esquizofrenia
Cálculo de vesícula biliar sin colecistitis sin obstrucción|Otros tipos de esquizofrenia
Cálculo de vesícula biliar sin colecistitis sin obstrucción|Trastornos delirantes
Cálculo de vesícula biliar sin colecistitis sin obstrucción|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Cálculo de vesícula biliar sin colecistitis sin obstrucción|Trastorno esquizoide de personalidad
Cálculo de conducto biliar con colangitis aguda, con obstrucción|Esquizofrenia
Cálculo de conducto biliar sin colangitis ni colecistitis, con obstrucción|Esquizofrenia
Cálculo de conducto biliar sin colangitis ni colecistitis, con obstrucción|Otros tipos de esquizofrenia
Cálculo de vesícula y conducto biliar con colecistitis aguda con obstrucción|Otros tipos de esquizofrenia
Cálculo de vesícula y conducto biliar sin colecistitis con obstrucción|Otros tipos de esquizofrenia
Colecistitis aguda|Esquizofrenia
Colecistitis crónica|Esquizofrenia
Colecistitis, no especificada|Esquizofrenia
Fístula de vesícula biliar|Otros tipos de esquizofrenia
Colangitis|Esquizofrenia
Colangitis|Otros tipos de esquizofrenia
Obstrucción de conducto biliar|Esquizofrenia
Obstrucción de conducto biliar|Otros tipos de esquizofrenia
Quiste biliar|Otros tipos de esquizofrenia
Pancreatitis aguda biliar|Esquizofrenia
Pancreatitis aguda biliar sin necrosis ni infección|Esquizofrenia
Pancreatitis aguda, no especificada|Esquizofrenia
Pancreatitis aguda, no especificada|Otros tipos de esquizofrenia
Otros tipos de pancreatitis crónica|Otros tipos de esquizofrenia
Quiste de páncreas|Otros tipos de esquizofrenia
Enfermedades de páncreas, no especificadas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Obstrucción intestinal posprocedimiento|Otros tipos de esquizofrenia
Hemorragia y hematoma intraoperatorios de un órgano o estructura de aparato digestivo, que complica un procedimiento de aparato digestivo|Esquizofrenia
Hemorragia posprocedimiento de un órgano o estructura del aparato digestivo después de un procedimiento del aparato digestivo|Esquizofrenia
Colelitiasis retenida después de colecistectomía|Otros tipos de esquizofrenia
Otras complicaciones y trastornos de aparato digestivo posprocedimiento|Esquizofrenia
Otras complicaciones y trastornos de aparato digestivo posprocedimiento|Trastornos delirantes
Hematemesis|Otros tipos de esquizofrenia
Melena|Otros tipos de esquizofrenia
Melena|Trastornos delirantes
Hemorragia gastrointestinal, no especificada|Esquizofrenia
Hemorragia gastrointestinal, no especificada|Otros tipos de esquizofrenia
Impétigo, no especificado|Otros tipos de esquizofrenia
Impetiginización de otras dermatosis|Trastornos esquizoafectivos
Ántrax de nalga|Trastorno psicótico breve
Celulitis de dedo de pie no especificado|Otros tipos de esquizofrenia
Celulitis de extremidad inferior derecha|Esquizofrenia
Celulitis de extremidad inferior izquierda|Esquizofrenia
Celulitis de parte no especificada de las extremidades|Esquizofrenia
Celulitis de parte no especificada de las extremidades|Otros tipos de esquizofrenia
Celulitis de parte no especificada de las extremidades|Trastornos delirantes
Linfangitis aguda de axila derecha|Esquizofrenia
Celulitis de cara|Esquizofrenia
Celulitis de pared abdominal|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Celulitis de tronco, no especificado|Otros tipos de esquizofrenia
Celulitis de cabeza [cualquier parte, excepto de cara]|Otros tipos de esquizofrenia
Quiste pilonidal sin absceso|Esquizofrenia
Sinus pilonidal sin absceso|Esquizofrenia
Infección local de la piel y del tejido subcutáneo, no especificada|Otros tipos de esquizofrenia
Infección local de la piel y del tejido subcutáneo, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Penfigoide ampolloso|Esquizofrenia
Penfigoide ampolloso|Otros tipos de esquizofrenia
Dermatitis seborreica, no especificada|Otros tipos de esquizofrenia
Dermatitis seborreica, no especificada|Trastornos esquizoafectivos
Dermatitis de contacto no especificada, causa no especificada|Trastornos delirantes
Erupción cutánea generalizada debida a drogas y medicamentos ingeridos|Otros tipos de esquizofrenia
Erupción cutánea generalizada debida a drogas y medicamentos ingeridos|Trastornos delirantes
Dermatitis debida a alimentos ingeridos|Otros tipos de esquizofrenia
Liquen simple crónico|Otros tipos de esquizofrenia
Liquen simple crónico|Trastorno esquizoide de personalidad
Prurito, no especificado|Esquizofrenia
Dermatitis, no especificada|Esquizofrenia
Dermatitis, no especificada|Trastornos delirantes
Dermatitis, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Psoriasis vulgar|Otros tipos de esquizofrenia
Psoriasis vulgar|Trastornos delirantes
Artropatía psoriásica juvenil|Otros tipos de esquizofrenia
Otros tipos de psoriasis|Esquizofrenia
Psoriasis, no especificada|Esquizofrenia
Psoriasis, no especificada|Trastornos delirantes
Psoriasis, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Pitiriasis rubra pilaris|Trastorno esquizoide de personalidad
Trastorno papuloescamoso, no especificado|Otros tipos de esquizofrenia
Urticaria, no especificada|Esquizofrenia
Urticaria, no especificada|Trastornos delirantes
Queratosis actínica|Trastornos delirantes
Trastorno de la piel y del tejido subcutáneo relacionado con la radiación, no especificado|Otros tipos de esquizofrenia
Hirsutismo|Otros tipos de esquizofrenia
Dermatitis peribucal|Otros tipos de esquizofrenia
Quiste sebáceo|Otros tipos de esquizofrenia
Quiste sebáceo|Trastorno esquizoide de personalidad
Hidradenitis supurativa|Esquizofrenia
Hidradenitis supurativa|Otros tipos de esquizofrenia
Vitíligo|Otros tipos de esquizofrenia
Xerosis de cutis|Otros tipos de esquizofrenia
Úlcera por presión en la parte inferior derecha de espalda, estadio no especificado|Otros tipos de esquizofrenia
Úlcera por presión en región sacra, estadio no especificado|Esquizofrenia
Úlcera por presión en tobillo no especificado, estadio no especificado|Otros tipos de esquizofrenia
Úlcera por presión en talón no especificado, no estadiable|Trastornos delirantes
Úlcera por presión en talón no especificado, estadio no especificado|Otros tipos de esquizofrenia
Úlcera por presión en talón derecho, estadio no especificado|Esquizofrenia
Úlcera por presión en talón izquierdo, estadio no especificado|Esquizofrenia
Úlcera por presión en sitio no especificado, estadio no especificado|Esquizofrenia
Necrobiosis lipoidea no clasificada bajo otro concepto|Trastornos delirantes
Lupus eritematoso discoide|Otros tipos de esquizofrenia
Úlcera crónica no debida a presión de muslo derecho, de gravedad no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Úlcera crónica no debida a presión de pantorrilla no especificada, de gravedad no especificada|Otros tipos de esquizofrenia
Úlcera crónica no debida a presión de talón y mediopie derechos, de gravedad no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Úlcera crónica no debida a presión de talón y mediopie izquierdos, de gravedad no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Úlcera crónica no debida a presión de otra parte de pie no especificado, de gravedad no especificada|Otros tipos de esquizofrenia
Úlcera crónica no debida a presión de otra parte de pie derecho, con necrosis de músculo|Trastornos delirantes
Úlcera crónica no debida a presión de otra parte de pie derecho, de gravedad no especificada|Esquizofrenia
Úlcera crónica no debida a presión de otra parte de pie izquierdo, de gravedad no especificada|Esquizofrenia
Úlcera crónica no debida a presión de parte no especificada de pierna no especificada, de gravedad no especificada|Otros tipos de esquizofrenia
Úlcera crónica no debida a presión de parte no especificada de pierna no especificada, de gravedad no especificada|Trastornos delirantes
Úlcera crónica no debida a presión de parte no especificada de pierna derecha, de gravedad no especificada|Esquizofrenia
Úlcera crónica no debida a presión de parte no especificada de pierna izquierda, de gravedad no especificada|Esquizofrenia
Dermatitis facticia|Trastornos delirantes
Úlcera crónica no debida a presión en nalga, de gravedad no especificada|Otros tipos de esquizofrenia
Úlcera crónica no debida a presión en la piel de otros sitios, de gravedad no especificada|Esquizofrenia
Otros trastornos especificados de la piel y del tejido subcutáneo|Trastornos delirantes
Artritis reumatoide no especificada|Esquizofrenia
Artritis reumatoide no especificada|Otros tipos de esquizofrenia
Gota idiopática, localización no especificada|Otros tipos de esquizofrenia
Gota, no especificada|Esquizofrenia
Gota, no especificada|Trastornos delirantes
Gota, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Artropatía no especificada|Otros tipos de esquizofrenia
Artrosis primaria generalizada|Esquizofrenia
Artrosis primaria generalizada|Otros tipos de esquizofrenia
Poliartrosis no especificada|Otros tipos de esquizofrenia
Poliartrosis no especificada|Trastornos delirantes
Poliartrosis no especificada|Trastorno psicótico breve
Artrosis de cadera primaria bilateral|Esquizofrenia
Artrosis primaria unilateral, cadera no especificada|Esquizofrenia
Artrosis primaria unilateral, cadera izquierda|Esquizofrenia
Artrosis de cadera no especificada|Otros tipos de esquizofrenia
Artrosis de cadera no especificada|Trastornos delirantes
Artrosis primaria de rodilla, bilateral|Trastornos delirantes
Artrosis primaria unilateral, rodilla no especificada|Esquizofrenia
Artrosis de rodilla no especificada|Esquizofrenia
Artrosis de rodilla no especificada|Otros tipos de esquizofrenia
Artrosis no especificada, localización no especificada|Esquizofrenia
Artrosis no especificada, localización no especificada|Otros tipos de esquizofrenia
Artrosis no especificada, localización no especificada|Trastornos delirantes
Artrosis no especificada, localización no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros tipos de gota crónica secundaria, tobillo y pie derechos, con tofos|Trastornos delirantes
Deformidad no especificada, dedo(s) de mano derecha|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hallux valgus (adquirido), pie no especificado|Otros tipos de esquizofrenia
Otras deformidades adquiridas especificadas, pierna, lado no especificado|Trastorno esquizoide de personalidad
Otros trastornos internos de rodilla derecha|Trastornos esquizoafectivos
Dolor en hombro no especificado|Otros tipos de esquizofrenia
Afecciones inflamatorias de los maxilares|Esquizofrenia
Afecciones inflamatorias de los maxilares|Otros tipos de esquizofrenia
Quiste de mandíbula no especificado|Esquizofrenia
Granulomatosis de Wegener, sin afectación renal|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Polimialgia reumática|Esquizofrenia
Afectación sistémica de tejido conectivo, no especificada|Trastornos delirantes
Afectación sistémica de tejido conectivo, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Cifosis no especificada, localización no especificada|Esquizofrenia
Cifosis no especificada, localización no especificada|Trastornos delirantes
Otras cifosis, región dorsolumbar|Trastornos esquizoafectivos
Lordosis no especificada, región lumbar|Esquizofrenia
Otra escoliosis idiopática, localización no especificada|Otros tipos de esquizofrenia
Otra escoliosis idiopática, localización no especificada|Trastorno esquizoide de personalidad
Otras formas de escoliosis, región cervical|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras formas de escoliosis, región dorsolumbar|Esquizofrenia
Otras formas de escoliosis, región lumbar|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Escoliosis no especificada|Esquizofrenia
Espondilolisis, localización no especificada|Otros tipos de esquizofrenia
Espondilolistesis, región lumbar|Trastornos delirantes
Espondilitis anquilosante de localizaciones no especificadas de la columna vertebral|Otros tipos de esquizofrenia
Espondilitis anquilosante de localizaciones no especificadas de la columna vertebral|Trastornos esquizoafectivos
Espondilosis sin mielopatía ni radiculopatía, región cervical|Esquizofrenia
Espondilosis sin mielopatía ni radiculopatía, región cervical|Otros tipos de esquizofrenia
Espondilosis sin mielopatía ni radiculopatía, región torácica|Otros tipos de esquizofrenia
Espondilosis sin mielopatía ni radiculopatía, región lumbosacra|Otros tipos de esquizofrenia
Espondilosis sin mielopatía ni radiculopatía, localización no especificada|Otros tipos de esquizofrenia
Otros tipos de espondilosis, región lumbar|Esquizofrenia
Otros tipos de espondilosis, región lumbar|Trastornos delirantes
Estenosis vertebral, región cervical|Trastornos delirantes
Estenosis vertebral, región cervical|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estenosis vertebral, región lumbar|Esquizofrenia
Estenosis vertebral, región lumbar|Otros tipos de esquizofrenia
Estenosis vertebral, región lumbar|Trastornos delirantes
Vértebra colapsada, no clasificada bajo otro concepto, localización no especificada, contacto inicial por fractura|Otros tipos de esquizofrenia
Vértebra colapsada, no clasificada bajo otro concepto, región torácica, contacto inicial por fractura|Trastornos delirantes
Vértebra colapsada, no clasificada bajo otro concepto, región lumbar, contacto inicial por fractura|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otro desplazamiento de disco cervical, región cervical no especificada|Trastorno esquizoide de personalidad
Otro desplazamiento de disco cervical a nivel de C6-C7|Esquizofrenia
Otros desplazamientos de disco intervertebral, región lumbar|Trastornos delirantes
Otros desplazamientos de disco intervertebral, región lumbar|Trastorno esquizoide de personalidad
Otros trastornos de disco intervertebral, región lumbar|Trastornos delirantes
Trastorno no especificado de disco intervertebral dorsal, dorsolumbar y lumbosacro|Otros tipos de esquizofrenia
Dolor en la parte inferior de la espalda|Otros tipos de esquizofrenia
Rabdomiolisis|Esquizofrenia
Rabdomiolisis|Otros tipos de esquizofrenia
Rabdomiolisis|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fibromatosis de fascia palmar [de Dupuytren]|Trastornos delirantes
Fascitis necrotizante|Trastornos delirantes
Bursitis de hombro izquierdo|Trastornos esquizoafectivos
Otras entesopatías, no clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Mialgia|Otros tipos de esquizofrenia
Paniculitis, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Cuerpo extraño residual en partes blandas|Otros tipos de esquizofrenia
Hematoma no traumático de tejidos blandos|Esquizofrenia
Osteoporosis relacionada con la edad, sin fractura patológica actual|Esquizofrenia
Osteoporosis relacionada con la edad, sin fractura patológica actual|Otros tipos de esquizofrenia
Osteoporosis relacionada con la edad, sin fractura patológica actual|Trastornos delirantes
Osteoporosis relacionada con la edad, sin fractura patológica actual|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fractura por estrés, tibia y peroné no especificados, secuela|Otros tipos de esquizofrenia
Fractura patológica, hombro no especificado, contacto inicial por fractura|Otros tipos de esquizofrenia
Fractura patológica, pelvis, contacto inicial por fractura|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fractura patológica, otra localización, contacto inicial por fractura|Trastornos esquizoafectivos
Fractura patológica en enfermedad neoplásica, fémur izquierdo, contacto inicial por fractura|Esquizofrenia
Otro tipo de osteomielitis aguda, fémur derecho|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Osteomielitis, no especificada|Trastornos delirantes
Osteítis deformante, hueso no especificado|Esquizofrenia
Otra osteoartropatía hipertrófica, localización no especificada|Otros tipos de esquizofrenia
Seudoartrosis después de fusión o artrodesis|Otros tipos de esquizofrenia
Otras complicaciones y trastornos intraoperatorios y posprocedimiento del aparato musculoesquelético|Trastornos esquizoafectivos
Síndrome nefrótico con cambios morfológicos no especificados|Otros tipos de esquizofrenia
Trastornos glomerulares en enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Pielonefritis aguda|Otros tipos de esquizofrenia
Hidronefrosis con estenosis ureteral, no clasificada bajo otro concepto|Esquizofrenia
Hidronefrosis no especificadas|Esquizofrenia
Hidronefrosis no especificadas|Otros tipos de esquizofrenia
Uropatía obstructiva y por reflujo, no especificada|Esquizofrenia
Uropatía obstructiva y por reflujo, no especificada|Otros tipos de esquizofrenia
Fallo renal agudo con necrosis tubular|Otros tipos de esquizofrenia
Fallo renal agudo, no especificado|Esquizofrenia
Fallo renal agudo, no especificado|Otros tipos de esquizofrenia
Fallo renal agudo, no especificado|Trastornos delirantes
Fallo renal agudo, no especificado|Trastorno psicótico breve
Fallo renal agudo, no especificado|Trastornos esquizoafectivos
Fallo renal agudo, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad renal crónica, estadio 2 (leve)|Esquizofrenia
Enfermedad renal crónica, estadio 2 (leve)|Otros tipos de esquizofrenia
Enfermedad renal crónica, estadio 3 (moderada)|Esquizofrenia
Enfermedad renal crónica, estadio 3 (moderada)|Otros tipos de esquizofrenia
Enfermedad renal crónica, estadio 3 (moderada)|Trastornos delirantes
